,PrimKey,opptKey,MarginOfVictory,teamDayOff_x,teamMin_T6_x,teamPTS_T6_x,teamAST_T6_x,teamTO_T6_x,teamSTL_T6_x,teamBLK_T6_x,teamPF_T6_x,teamFGA_T6_x,teamFGM_T6_x,teamFG%_T6_x,team2PA_T6_x,team2PM_T6_x,team2P%_T6_x,team3PA_T6_x,team3PM_T6_x,team3P%_T6_x,teamFTA_T6_x,teamFTM_T6_x,teamFT%_T6_x,teamORB_T6_x,teamDRB_T6_x,teamTRB_T6_x,teamTREB%_T6_x,teamASST%_T6_x,teamTS%_T6_x,teamEFG%_T6_x,teamOREB%_T6_x,teamDREB%_T6_x,teamTO%_T6_x,teamSTL%_T6_x,teamBLK%_T6_x,teamBLKR_T6_x,teamPPS_T6_x,teamFIC_T6_x,teamFIC40_T6_x,teamOrtg_T6_x,teamDrtg_T6_x,teamEDiff_T6_x,teamPlay%_T6_x,teamAR_T6_x,teamAST/TO_T6_x,teamSTL/TO_T6_x,poss_T6_x,pace_T6_x,teamMin_T6_y,teamPTS_T6_y,teamAST_T6_y,teamTO_T6_y,teamSTL_T6_y,teamBLK_T6_y,teamPF_T6_y,teamFGA_T6_y,teamFGM_T6_y,teamFG%_T6_y,team2PA_T6_y,team2PM_T6_y,team2P%_T6_y,team3PA_T6_y,team3PM_T6_y,team3P%_T6_y,teamFTA_T6_y,teamFTM_T6_y,teamFT%_T6_y,teamORB_T6_y,teamDRB_T6_y,teamTRB_T6_y,teamTREB%_T6_y,teamASST%_T6_y,teamTS%_T6_y,teamEFG%_T6_y,teamOREB%_T6_y,teamDREB%_T6_y,teamTO%_T6_y,teamSTL%_T6_y,teamBLK%_T6_y,teamBLKR_T6_y,teamPPS_T6_y,teamFIC_T6_y,teamFIC40_T6_y,teamOrtg_T6_y,teamDrtg_T6_y,teamEDiff_T6_y,teamPlay%_T6_y,teamAR_T6_y,teamAST/TO_T6_y,teamSTL/TO_T6_y,poss_T6_y,pace_T6_y,Home,teamDayOff_y
0,43037GS,43037DET,-8,1,240.16666666666666,120.0,30.5,17.166666666666668,7.166666666666667,8.666666666666666,22.333333333333332,85.5,43.333333333333336,0.5079333333333332,50.333333333333336,29.5,0.5844333333333334,35.166666666666664,13.833333333333334,0.4014,22.666666666666668,19.5,0.8610833333333335,9.833333333333334,36.166666666666664,46.0,51.55983333333333,70.09016666666666,0.6302166666666666,0.5892833333333333,23.993399999999998,74.72404999999999,15.270183333333334,7.071033333333333,8.447616666666667,17.076249999999998,1.40845,102.33333333333333,85.17976666666667,117.25523333333335,111.67338333333333,5.581849999999999,0.4662833333333333,21.261033333333334,1.7794833333333333,41.870916666666666,102.25873333333334,102.18398333333334,240.33333333333334,104.5,21.0,13.833333333333334,9.0,2.8333333333333335,23.333333333333332,89.83333333333333,40.833333333333336,0.45398333333333335,61.333333333333336,31.166666666666668,0.5094,28.5,9.666666666666666,0.3406,17.333333333333332,13.166666666666666,0.7751,11.166666666666666,32.0,43.166666666666664,49.89291666666666,50.664199999999994,0.5356333333333333,0.5076166666666666,24.877799999999997,78.88806666666667,12.400166666666665,9.222433333333333,2.929933333333333,4.65595,1.1626,73.125,60.84863333333333,107.58139999999999,102.49243333333334,5.088966666666667,0.44098333333333334,15.681166666666668,1.6077000000000001,70.69523333333332,97.12225,96.98608333333333,1,0
1,43038SA,43038BOS,-14,1,239.83333333333334,98.83333333333333,20.333333333333332,15.333333333333334,7.666666666666667,7.5,16.666666666666668,87.83333333333333,37.833333333333336,0.43389999999999995,67.5,31.666666666666668,0.47000000000000003,20.333333333333332,6.166666666666667,0.29843333333333333,22.166666666666668,17.0,0.7593666666666667,13.5,35.5,49.0,54.69466666666667,54.31936666666667,0.5092833333333333,0.46996666666666664,28.118349999999996,84.44598333333334,13.5062,7.9052999999999995,7.702066666666666,11.219783333333332,1.1368833333333335,76.60416666666667,63.887283333333336,102.29095,100.404,1.88695,0.4235166666666667,15.268033333333335,1.43265,53.41453333333334,96.89254999999999,96.96028333333332,240.5,100.5,20.833333333333332,14.666666666666666,9.333333333333334,4.5,21.166666666666668,82.83333333333333,35.666666666666664,0.43176666666666663,54.333333333333336,25.666666666666668,0.4733333333333334,28.5,10.0,0.34968333333333335,25.5,19.166666666666668,0.7493166666666666,9.333333333333334,35.833333333333336,45.166666666666664,50.83445,58.229949999999995,0.5364333333333334,0.49279999999999996,20.396533333333334,82.37363333333333,13.475866666666668,9.584166666666667,4.630416666666667,8.596633333333333,1.22015,74.4375,61.89151666666666,102.96381666666667,97.20535,5.758466666666666,0.40491666666666665,16.0553,1.4658333333333333,67.78456666666666,97.67028333333333,97.46775000000001,0,1
2,43038HOU,43038PHI,-8,2,239.83333333333334,100.83333333333333,20.333333333333332,17.166666666666668,7.333333333333333,5.166666666666667,21.833333333333332,79.83333333333333,34.5,0.4320833333333332,35.833333333333336,21.166666666666668,0.5941666666666666,44.0,13.333333333333334,0.2999333333333334,22.0,18.5,0.8364999999999999,8.5,36.666666666666664,45.166666666666664,51.853249999999996,59.6223,0.5630999999999999,0.5151,20.122716666666665,82.14038333333333,16.11971666666667,7.5757,5.31665,14.947249999999999,1.2628333333333333,73.45833333333333,61.267316666666666,104.73825,102.16461666666667,2.5736333333333334,0.38953333333333334,15.986566666666667,1.1879166666666665,43.62085,96.15528333333332,96.2247,239.66666666666666,102.33333333333333,23.666666666666668,17.5,8.833333333333334,3.6666666666666665,24.666666666666668,87.83333333333333,38.5,0.43871666666666664,56.833333333333336,26.833333333333332,0.47371666666666673,31.0,11.666666666666666,0.37329999999999997,19.833333333333332,13.666666666666666,0.6937000000000001,10.666666666666666,34.333333333333336,45.0,50.35543333333334,61.42373333333334,0.5312333333333333,0.5048499999999999,23.18228333333333,79.21121666666666,15.377550000000001,8.906466666666665,3.594516666666667,6.188549999999999,1.1704333333333334,71.77083333333333,59.867416666666664,102.05559999999998,107.70601666666666,-5.6504166666666675,0.4066666666666667,17.166366666666665,1.3892999999999998,52.13003333333333,100.51391666666666,100.65863333333333,1,1
3,43038CHA,43038MEM,5,1,240.33333333333334,102.66666666666667,19.166666666666668,15.166666666666666,4.833333333333333,4.833333333333333,18.0,83.83333333333333,37.166666666666664,0.4402333333333333,55.666666666666664,27.666666666666668,0.49091666666666667,28.166666666666668,9.5,0.3367833333333334,27.666666666666668,18.833333333333332,0.6710166666666667,9.5,41.166666666666664,50.666666666666664,53.123333333333335,51.16288333333333,0.5348,0.4977,20.867,82.70505,13.612966666666665,4.791783333333333,4.789533333333334,8.636116666666668,1.22695,74.45833333333333,61.926066666666664,101.82746666666668,101.29726666666666,0.5302000000000006,0.4126,14.526733333333333,1.3276666666666668,34.774750000000004,100.67168333333332,100.52798333333332,239.83333333333334,100.83333333333333,18.833333333333332,13.833333333333334,7.833333333333333,4.666666666666667,23.333333333333332,77.83333333333333,34.5,0.4429666666666667,49.0,24.333333333333332,0.49843333333333334,28.833333333333332,10.166666666666666,0.35031666666666667,28.0,21.666666666666668,0.7595833333333334,7.5,33.666666666666664,41.166666666666664,48.21963333333333,54.47835,0.5611,0.5083333333333333,17.565949999999997,76.00035,13.344933333333335,8.306666666666667,4.9402,9.430183333333334,1.3058166666666666,70.54166666666667,58.82438333333334,106.91811666666668,99.91493333333334,7.003183333333333,0.4086,15.28475,1.5019833333333334,61.83863333333333,94.25333333333333,94.31883333333333,0,2
4,43038NO,43038ORL,-16,2,240.16666666666666,110.0,23.5,16.166666666666668,7.5,5.5,23.333333333333332,85.66666666666667,40.5,0.47015,54.666666666666664,29.166666666666668,0.5337999999999999,31.0,11.333333333333334,0.3604333333333334,23.833333333333332,17.666666666666668,0.7362333333333334,10.0,36.166666666666664,46.166666666666664,51.50546666666667,57.32265,0.5714,0.5354333333333333,22.470116666666666,78.55336666666666,14.41473333333333,7.371333333333332,5.551200000000001,10.430383333333333,1.282733333333333,82.60416666666667,68.81541666666665,108.99075,107.82866666666666,1.1620833333333336,0.43825,17.10803333333333,1.55795,48.408750000000005,100.82333333333332,100.74865,239.16666666666666,117.16666666666667,25.0,15.0,8.5,6.0,23.333333333333332,88.83333333333333,43.0,0.48598333333333327,60.833333333333336,30.833333333333332,0.5054833333333333,28.0,12.166666666666666,0.4285999999999999,24.0,19.0,0.7699166666666667,8.833333333333334,36.166666666666664,45.0,47.98638333333333,58.455999999999996,0.5914333333333334,0.5543833333333333,19.93171666666667,73.03108333333334,13.124566666666666,8.129433333333333,5.769916666666667,9.730033333333333,1.3238666666666667,90.33333333333333,75.55193333333334,112.27088333333334,104.35221666666666,7.918666666666667,0.4529666666666667,17.866866666666667,1.7808666666666666,60.59675000000001,104.44,104.79751666666668,1,1
5,43038DAL,43038UTA,-15,2,240.33333333333334,97.66666666666667,20.166666666666668,13.5,8.0,2.6666666666666665,18.166666666666668,82.83333333333333,34.333333333333336,0.41975,50.666666666666664,22.166666666666668,0.44914999999999994,32.166666666666664,12.166666666666666,0.3758666666666666,23.333333333333332,16.833333333333332,0.7342333333333334,9.0,31.0,40.0,45.72516666666667,58.96568333333334,0.5309833333333334,0.49535,18.106583333333333,75.85273333333333,12.766383333333332,8.403266666666667,2.925333333333333,5.980399999999999,1.196,67.29166666666667,56.00463333333334,102.88763333333333,111.04493333333336,-8.157300000000001,0.39386666666666664,15.981533333333333,1.5265666666666668,61.008916666666664,94.98671666666668,94.85301666666668,240.66666666666666,94.5,21.833333333333332,19.666666666666668,9.0,6.5,20.333333333333332,78.33333333333333,36.5,0.46576666666666666,51.833333333333336,27.666666666666668,0.5340166666666667,26.5,8.833333333333334,0.3339666666666667,16.0,12.666666666666666,0.7962000000000001,8.166666666666666,33.333333333333336,41.5,49.20838333333333,59.72028333333333,0.5534833333333333,0.5220666666666666,20.47255,75.64720000000001,18.661983333333335,9.520883333333332,6.818383333333333,12.503950000000001,1.2060833333333332,70.41666666666667,58.504349999999995,99.93698333333333,99.07995,0.8570333333333334,0.40686666666666665,17.192549999999997,1.16035,46.979816666666665,94.69011666666667,94.42925000000001,0,2
6,43039IND,43039SAC,18,2,239.16666666666666,111.16666666666667,21.166666666666668,15.5,8.666666666666666,4.0,20.666666666666668,86.66666666666667,41.833333333333336,0.4812833333333333,62.666666666666664,33.5,0.5298666666666667,24.0,8.333333333333334,0.3515166666666667,25.333333333333332,19.166666666666668,0.7494500000000001,10.166666666666666,32.833333333333336,43.0,50.33011666666666,49.9256,0.5699500000000001,0.5297999999999999,24.137366666666665,75.34516666666667,13.811383333333334,8.4822,3.8532333333333337,6.2468,1.2820333333333334,79.45833333333333,66.44771666666666,109.46346666666666,110.47316666666666,-1.0096999999999994,0.45126666666666665,15.556850000000003,1.4115833333333334,56.016616666666664,101.27035000000001,101.61743333333334,239.66666666666666,96.0,18.5,14.833333333333334,8.0,3.1666666666666665,20.166666666666668,87.0,37.166666666666664,0.4268166666666667,64.83333333333333,29.166666666666668,0.44985,22.166666666666668,8.0,0.36036666666666667,17.666666666666668,13.666666666666666,0.7677999999999999,11.0,31.0,42.0,47.36168333333333,49.713300000000004,0.5057833333333334,0.47269999999999995,23.482133333333334,74.03668333333333,13.629,8.32615,3.3240166666666666,4.9679,1.1028666666666667,63.125,52.72749999999999,100.26968333333332,109.70696666666664,-9.437283333333333,0.40845,14.391566666666668,1.3574166666666667,61.658516666666664,95.50943333333335,95.6493,1,2
7,43039PHO,43039BKN,8,2,240.16666666666666,102.5,17.5,18.333333333333332,8.5,6.166666666666667,24.5,85.33333333333333,36.833333333333336,0.43205,59.5,28.166666666666668,0.4808333333333334,25.833333333333332,8.666666666666666,0.3312333333333333,26.666666666666668,20.166666666666668,0.7621500000000001,9.666666666666666,34.5,44.166666666666664,48.136966666666666,48.51590000000001,0.52815,0.4829666666666667,20.33888333333333,76.55021666666667,15.948066666666668,8.162416666666667,5.855349999999999,10.363183333333334,1.2110166666666666,65.625,54.69571666666667,97.55645,112.04424999999999,-14.487799999999998,0.3904,13.137716666666668,0.9562833333333334,47.568266666666666,104.59773333333334,104.54098333333336,240.66666666666666,112.0,22.333333333333332,16.0,9.0,4.333333333333333,21.833333333333332,89.66666666666667,39.333333333333336,0.4383000000000001,56.666666666666664,27.5,0.48269999999999996,33.0,11.833333333333334,0.35991666666666666,29.333333333333332,21.5,0.7298666666666668,12.166666666666666,33.833333333333336,46.0,49.4265,57.119716666666676,0.5452,0.5045666666666665,24.67793333333334,76.98426666666667,13.566583333333334,8.658966666666666,4.134616666666667,7.388133333333333,1.2476833333333333,80.04166666666667,66.50651666666666,108.14254999999999,111.04928333333332,-2.906733333333333,0.4197499999999999,15.83675,1.4086666666666667,56.34793333333334,103.24778333333335,102.95670000000001,0,2
8,43039MIL,43039OKC,-19,2,239.83333333333334,104.5,23.333333333333332,14.833333333333334,7.666666666666667,3.8333333333333335,22.666666666666668,80.16666666666667,39.5,0.49278333333333335,55.0,29.833333333333332,0.5421833333333334,25.166666666666668,9.666666666666666,0.3871166666666667,20.5,15.833333333333334,0.7680333333333333,5.5,33.0,38.5,47.71841666666666,58.99103333333334,0.5850333333333333,0.5530666666666666,14.249333333333333,78.87331666666667,14.286833333333332,7.91525,3.94835,6.803616666666667,1.30475,75.60416666666667,63.04281666666666,107.70105,107.04453333333335,0.6565166666666666,0.44203333333333333,18.269783333333333,1.5971166666666665,52.79608333333334,96.99130000000001,97.06171666666667,240.5,106.0,23.333333333333332,15.666666666666666,11.5,7.0,22.166666666666668,87.83333333333333,40.333333333333336,0.45818333333333333,56.0,29.666666666666668,0.5268166666666666,31.833333333333332,10.666666666666666,0.3360166666666667,20.333333333333332,14.666666666666666,0.71175,11.333333333333334,30.5,41.833333333333336,48.96986666666667,57.75156666666667,0.5467333333333334,0.5190833333333333,26.63406666666667,71.99281666666667,13.887733333333335,11.885116666666667,7.1846,12.4694,1.2061,81.79166666666667,68.05828333333334,108.66118333333334,98.87425,9.786933333333334,0.4371666666666667,17.054549999999995,1.5893999999999997,77.44121666666668,97.45668333333333,97.25598333333333,1,3
9,43039DET,43039LAL,-20,2,240.5,106.66666666666667,20.666666666666668,14.666666666666666,9.333333333333334,2.3333333333333335,21.333333333333332,89.33333333333333,41.166666666666664,0.4598666666666667,60.666666666666664,31.0,0.5115,28.666666666666668,10.166666666666666,0.35696666666666665,18.166666666666668,14.166666666666666,0.7889833333333334,12.5,29.0,41.5,49.568233333333325,49.43523333333332,0.5470833333333334,0.5164333333333332,28.07598333333333,74.55203333333334,13.0782,9.665000000000001,2.4247833333333335,3.9416666666666664,1.1916166666666665,74.10416666666667,61.6155,110.5308833333333,106.06253333333335,4.46835,0.4494333333333334,15.388916666666669,1.4251500000000001,63.81691666666666,96.49884999999999,96.29366666666665,243.5,101.83333333333333,22.333333333333332,19.166666666666668,8.5,5.166666666666667,23.0,87.83333333333333,39.5,0.44836666666666664,63.833333333333336,32.833333333333336,0.5172333333333333,24.0,6.666666666666667,0.27263333333333334,22.666666666666668,16.166666666666668,0.7178,9.166666666666666,36.333333333333336,45.5,48.909166666666664,56.70028333333334,0.5182333333333333,0.48566666666666664,19.673516666666668,77.42136666666667,16.397583333333333,8.1876,4.9360333333333335,8.1379,1.1555,69.20833333333333,56.912416666666665,95.97476666666667,103.10203333333332,-7.127266666666666,0.40263333333333334,15.966349999999998,1.1730500000000001,45.420700000000004,105.66731666666668,104.26571666666666,0,3
