"","PrimKey","MoV","Home","teamDayOff_x","teamMin_T6_x","teamPF_T6_x","team3P._T6_x","teamFT._T6_x","teamTREB._T6_x","teamBLKR_T6_x","teamPPS_T6_x","teamEDiff_T6_x","teamAST.TO_T6_x","teamSTL.TO_T6_x","poss_T6_x","teamMin_T6_y","teamPF_T6_y","team3P._T6_y","teamFT._T6_y","teamTREB._T6_y","teamBLKR_T6_y","teamPPS_T6_y","teamEDiff_T6_y","teamAST.TO_T6_y","teamSTL.TO_T6_y","poss_T6_y","teamDayOff_y"
"1","43037GS",-8,1,1,240.166666666667,22.3333333333333,0.4014,0.861083333333334,51.5598333333333,17.07625,1.40845,5.58185,1.77948333333333,41.8709166666667,102.258733333333,240.333333333333,23.3333333333333,0.3406,0.7751,49.8929166666667,4.65595,1.1626,5.08896666666667,1.6077,70.6952333333333,97.12225,0
"2","43038SA",-14,0,1,239.833333333333,16.6666666666667,0.298433333333333,0.759366666666667,54.6946666666667,11.2197833333333,1.13688333333333,1.88695,1.43265,53.4145333333333,96.89255,240.5,21.1666666666667,0.349683333333333,0.749316666666667,50.83445,8.59663333333333,1.22015,5.75846666666667,1.46583333333333,67.7845666666667,97.6702833333333,1
"3","43038HOU",-8,1,2,239.833333333333,21.8333333333333,0.299933333333333,0.8365,51.85325,14.94725,1.26283333333333,2.57363333333333,1.18791666666667,43.62085,96.1552833333333,239.666666666667,24.6666666666667,0.3733,0.6937,50.3554333333333,6.18855,1.17043333333333,-5.65041666666667,1.3893,52.1300333333333,100.513916666667,1
"4","43038CHA",5,0,1,240.333333333333,18,0.336783333333333,0.671016666666667,53.1233333333333,8.63611666666667,1.22695,0.530200000000001,1.32766666666667,34.77475,100.671683333333,239.833333333333,23.3333333333333,0.350316666666667,0.759583333333333,48.2196333333333,9.43018333333333,1.30581666666667,7.00318333333333,1.50198333333333,61.8386333333333,94.2533333333333,2
"5","43038NO",-16,1,2,240.166666666667,23.3333333333333,0.360433333333333,0.736233333333333,51.5054666666667,10.4303833333333,1.28273333333333,1.16208333333333,1.55795,48.40875,100.823333333333,239.166666666667,23.3333333333333,0.4286,0.769916666666667,47.9863833333333,9.73003333333333,1.32386666666667,7.91866666666667,1.78086666666667,60.59675,104.44,1
"6","43038DAL",-15,0,2,240.333333333333,18.1666666666667,0.375866666666667,0.734233333333333,45.7251666666667,5.9804,1.196,-8.1573,1.52656666666667,61.0089166666667,94.9867166666667,240.666666666667,20.3333333333333,0.333966666666667,0.7962,49.2083833333333,12.50395,1.20608333333333,0.857033333333333,1.16035,46.9798166666667,94.6901166666667,2
"7","43039IND",18,1,2,239.166666666667,20.6666666666667,0.351516666666667,0.74945,50.3301166666667,6.2468,1.28203333333333,-1.0097,1.41158333333333,56.0166166666667,101.27035,239.666666666667,20.1666666666667,0.360366666666667,0.7678,47.3616833333333,4.9679,1.10286666666667,-9.43728333333333,1.35741666666667,61.6585166666667,95.5094333333333,2
"8","43039PHO",8,0,2,240.166666666667,24.5,0.331233333333333,0.76215,48.1369666666667,10.3631833333333,1.21101666666667,-14.4878,0.956283333333333,47.5682666666667,104.597733333333,240.666666666667,21.8333333333333,0.359916666666667,0.729866666666667,49.4265,7.38813333333333,1.24768333333333,-2.90673333333333,1.40866666666667,56.3479333333333,103.247783333333,2
"9","43039MIL",-19,1,2,239.833333333333,22.6666666666667,0.387116666666667,0.768033333333333,47.7184166666667,6.80361666666667,1.30475,0.656516666666667,1.59711666666667,52.7960833333333,96.9913,240.5,22.1666666666667,0.336016666666667,0.71175,48.9698666666667,12.4694,1.2061,9.78693333333333,1.5894,77.4412166666667,97.4566833333333,3
"10","43039DET",-20,0,2,240.5,21.3333333333333,0.356966666666667,0.788983333333333,49.5682333333333,3.94166666666667,1.19161666666667,4.46835,1.42515,63.8169166666667,96.49885,243.5,23,0.272633333333333,0.7178,48.9091666666667,8.1379,1.1555,-7.12726666666667,1.17305,45.4207,105.667316666667,3
"11","43040CHA",5,1,1,240.5,19.1666666666667,0.355416666666667,0.671016666666667,53.7643666666667,9.0937,1.21621666666667,3.37848333333333,1.37913333333333,35.01985,100.95515,240.5,22.6666666666667,0.381566666666667,0.765516666666667,45.9056333333333,7.04078333333333,1.26746666666667,-4.025,1.65266666666667,55.0183,96.2328333333333,0
"12","43040IND",17,0,1,239.166666666667,19.3333333333333,0.376366666666667,0.748016666666667,50.5489833333333,6.12425,1.25131666666667,0.797833333333334,1.34413333333333,50.6197833333333,98.3573333333333,240.5,16.1666666666667,0.357516666666667,0.793033333333333,50.2082166666667,8.92975,1.28931666666667,-6.63005,1.49501666666667,38.636,97.5273333333333,3
"13","43040PHI",10,1,1,239.666666666667,25.1666666666667,0.371316666666667,0.68895,51.9939833333333,5.68411666666667,1.20611666666667,-3.5562,1.35848333333333,54.1841833333333,100.0653,240,22.6666666666667,0.361633333333333,0.867583333333333,44.6511666666667,5.2629,1.14165,-10.2579333333333,1.54081666666667,63.2593,99.0193333333333,3
"14","43040PHO",6,0,0,239.833333333333,25.1666666666667,0.363766666666667,0.794566666666667,52.02585,9.33878333333333,1.2805,-5.29425,1.00211666666667,42.3599333333333,106.967183333333,245.333333333333,20,0.351816666666667,0.7627,48.99915,8.91028333333333,1.2684,6.05443333333333,1.69183333333333,68.3660166666667,103.1445,3
